Age,Salary,Budget,category
52,12,5000,art
58,48,3000,nature
61,43,500,art
58,12,500,nature
60,15,3000,cafe
51,45,2000,pub
21,16,10000,resort
43,12,500,nature
49,24,2000,fine dining
48,43,2000,adventure
19,1,1000,nature
59,11,500,nature
44,12,500,nature
26,34,1000,nature
61,39,2000,cafe
60,29,500,nature
21,26,10000,resort
33,47,3000,fine dining
37,27,5000,resort
50,18,1000,nature
29,46,1000,art
38,48,10000,resort
31,28,5000,resort
53,15,1000,resort
64,42,1000,nature
20,25,1000,nature
40,40,10000,resort
54,43,10000,art
36,39,2000,nature
36,44,3000,cafe
42,12,10000,resort
56,29,10000,cafe
61,35,500,resort
25,27,2000,adventure
40,47,500,art
54,13,5000,pub
29,34,10000,fine dining
36,48,5000,resort
60,10,5000,art
62,14,2000,pub
36,11,2000,cafe
22,46,1000,cafe
20,37,500,nature
56,37,500,cafe
61,22,5000,cafe
23,10,5000,fine dining
22,33,10000,resort
31,34,10000,resort
54,41,5000,fine dining
63,25,2000,nature
26,39,2000,adventure
63,33,500,adventure
22,46,2000,adventure
44,44,10000,resort
37,36,500,nature
20,35,1000,nature
35,48,10000,resort
52,26,500,nature
18,2,500,nature
20,11,500,nature
21,14,10000,adventure
33,30,10000,resort
49,27,10000,fine dining
43,29,3000,cafe
57,38,10000,cafe
64,15,2000,nature
60,10,5000,cafe
48,20,500,art
48,45,3000,pub
27,20,5000,fine dining
49,12,3000,art
57,21,500,nature
35,11,10000,resort
47,12,3000,cafe
60,19,2000,cafe
35,36,2000,cafe
40,40,5000,resort
21,19,3000,adventure
42,10,1000,nature
22,31,2000,pub
28,12,2000,pub
61,15,2000,cafe
21,35,10000,fine dining
60,49,1000,art
25,40,1000,nature
25,14,500,cafe
25,35,3000,adventure
35,21,10000,resort
59,11,500,adventure
26,27,3000,pub
54,50,500,nature
25,38,2000,adventure
57,11,10000,fine dining
43,18,5000,resort
45,31,1000,nature
28,40,3000,nature
59,19,1000,nature
64,23,500,resort
27,47,5000,cafe
55,30,5000,adventure
18,2,2000,adventure
29,42,3000,pub
33,13,500,adventure
30,29,10000,resort
20,41,2000,adventure
19,2,5000,fine dining
21,17,5000,fine dining
27,41,1000,nature
60,49,5000,adventure
56,13,5000,cafe
42,48,5000,resort
49,19,500,art
44,16,3000,fine dining
38,26,5000,resort
50,36,10000,adventure
35,50,10000,resort
26,34,500,nature
64,30,2000,fine dining
56,21,1000,nature
28,19,3000,pub
60,50,5000,adventure
21,37,5000,fine dining
45,40,10000,resort
19,1,2000,adventure
53,17,3000,cafe
40,35,5000,resort
26,25,3000,fine dining
41,46,500,nature
59,49,5000,pub
54,16,5000,nature
20,40,2000,pub
65,21,3000,nature
61,29,500,nature
60,28,10000,cafe
24,28,10000,fine dining
43,49,2000,fine dining
46,16,10000,resort
20,30,3000,adventure
60,44,500,art
32,17,10000,resort
58,12,2000,fine dining
23,16,3000,adventure
26,14,5000,fine dining
21,34,10000,fine dining
51,49,1000,nature
35,40,2000,cafe
65,21,10000,cafe
38,17,10000,resort
39,37,3000,fine dining
37,34,5000,resort
36,13,10000,resort
48,45,1000,nature
29,25,500,nature
34,32,5000,resort
35,40,2000,fine dining
35,18,500,art
37,36,3000,fine dining
24,17,2000,pub
42,41,10000,resort
39,23,3000,cafe
46,18,5000,resort
36,47,2000,cafe
41,22,2000,cafe
33,47,10000,resort
58,32,500,adventure
33,25,10000,resort
30,27,5000,nature
28,29,10000,fine dining
59,34,1000,nature
20,11,10000,fine dining
52,13,5000,nature
23,34,1000,cafe
34,48,1000,resort
53,10,1000,nature
52,47,2000,resort
28,31,3000,adventure
18,2,500,pub
30,14,5000,nature
18,2,10000,art
38,28,500,nature
31,23,10000,resort
54,44,2000,cafe
35,46,10000,resort
54,42,500,art
21,15,10000,fine dining
55,31,1000,cafe
46,23,3000,cafe
21,50,3000,pub
21,36,10000,fine dining
55,39,500,nature
51,39,2000,pub
19,2,1000,nature
55,33,500,art
64,18,5000,fine dining
64,26,1000,resort
51,18,500,nature
43,22,5000,resort
40,35,5000,resort
41,24,3000,cafe
58,41,500,resort
38,42,1000,cafe
43,24,1000,cafe
41,41,10000,resort
22,31,5000,fine dining
49,49,500,cafe
58,23,500,nature
22,29,500,cafe
20,50,3000,resort
52,49,500,nature
61,21,3000,adventure
20,36,5000,resort
54,44,3000,pub
32,46,2000,art
55,21,500,art
44,39,3000,art
31,50,2000,cafe
26,23,5000,fine dining
43,23,5000,resort
62,43,2000,adventure
22,33,500,cafe
56,25,3000,cafe
28,11,3000,cafe
60,27,1000,nature
39,45,2000,fine dining
31,27,2000,cafe
45,17,1000,nature
52,28,1000,cafe
41,40,500,nature
45,13,500,fine dining
63,40,10000,pub
25,35,10000,fine dining
39,13,2000,cafe
28,49,2000,pub
60,23,1000,nature
52,47,10000,cafe
56,19,10000,resort
18,2,500,cafe
22,28,5000,fine dining
39,33,5000,resort
59,24,5000,fine dining
55,19,1000,nature
57,35,500,adventure
48,32,10000,cafe
37,30,3000,fine dining
63,15,2000,resort
49,43,500,nature
46,27,10000,resort
42,15,5000,resort
33,33,2000,cafe
39,20,5000,resort
56,15,5000,resort
38,30,5000,resort
22,31,1000,cafe
48,32,2000,cafe
58,21,1000,nature
46,13,2000,fine dining
64,20,2000,resort
38,10,5000,resort
33,38,3000,fine dining
42,24,3000,cafe
60,46,500,nature
28,42,3000,nature
27,43,10000,fine dining
36,20,500,fine dining
59,26,3000,fine dining
53,34,3000,adventure
26,23,2000,adventure
48,18,5000,fine dining
42,12,10000,resort
32,14,500,art
28,21,2000,adventure
60,17,500,art
20,19,2000,pub
52,34,3000,nature
48,38,3000,cafe
48,27,500,nature
32,28,5000,resort
51,30,500,art
37,48,5000,resort
47,15,2000,fine dining
52,30,500,resort
43,40,5000,resort
59,33,5000,cafe
48,30,3000,adventure
52,44,2000,nature
22,36,5000,fine dining
28,36,1000,nature
31,42,1000,art
50,21,2000,pub
30,32,1000,nature
34,32,10000,resort
42,26,3000,fine dining
45,41,500,nature
42,20,10000,resort
20,32,10000,adventure
62,13,5000,art
54,21,10000,resort
38,47,500,nature
19,1,10000,resort
40,13,5000,resort
30,17,10000,nature
37,14,3000,cafe
41,28,5000,resort
29,45,2000,pub
52,30,3000,cafe
54,13,500,nature
51,33,500,cafe
48,47,1000,nature
51,36,3000,cafe
52,24,500,nature
53,11,3000,nature
19,1,500,art
18,2,1000,cafe
51,47,5000,adventure
48,32,500,nature
62,44,3000,resort
31,26,5000,resort
65,21,3000,adventure
45,26,3000,cafe
32,38,1000,art
35,15,10000,resort
24,38,1000,nature
24,43,1000,cafe
35,20,1000,nature
31,32,3000,cafe
47,17,5000,resort
50,17,2000,cafe
43,42,500,art
48,31,2000,cafe
52,45,5000,adventure
21,45,5000,cafe
42,37,5000,resort
44,14,2000,fine dining
23,15,10000,fine dining
59,29,1000,art
35,30,2000,cafe
33,38,500,nature
59,15,3000,fine dining
55,14,10000,art
30,22,5000,nature
28,30,10000,nature
52,23,1000,art
63,41,5000,pub
61,15,500,cafe
27,45,2000,adventure
31,12,1000,art
43,10,3000,cafe
33,23,5000,resort
52,35,500,nature
64,34,3000,art
64,13,1000,art
50,26,1000,art
62,18,500,art
23,16,5000,fine dining
29,34,5000,fine dining
22,35,5000,resort
62,18,1000,nature
65,15,1000,nature
56,46,2000,resort
65,10,5000,cafe
30,25,5000,nature
34,25,500,nature
47,17,500,nature
19,2,1000,cafe
53,16,5000,pub
50,10,5000,art
35,21,500,nature
37,40,500,nature
64,27,3000,cafe
20,17,1000,nature
34,23,500,resort
45,31,10000,resort
65,11,1000,art
57,45,10000,art
51,19,2000,nature
43,41,5000,resort
34,22,5000,resort
50,32,10000,pub
65,43,500,art
54,41,2000,fine dining
29,14,500,cafe
50,10,2000,resort
33,40,5000,resort
25,11,500,nature
32,50,3000,fine dining
53,50,5000,art
34,16,1000,cafe
20,40,5000,fine dining
36,12,5000,resort
39,43,5000,resort
22,36,10000,resort
46,24,10000,resort
64,32,1000,nature
37,39,5000,resort
33,10,500,nature
38,31,2000,fine dining
19,2,500,cafe
44,10,500,art
28,20,500,adventure
40,26,3000,fine dining
33,20,500,art
65,44,5000,adventure
44,26,3000,cafe
40,28,3000,cafe
63,37,5000,cafe
21,46,10000,fine dining
36,33,5000,resort
52,17,10000,fine dining
43,38,1000,nature
42,14,1000,nature
45,48,10000,resort
47,44,10000,resort
25,31,3000,adventure
21,27,5000,resort
33,36,5000,resort
49,14,5000,fine dining
26,34,3000,adventure
48,24,2000,resort
60,42,3000,resort
35,24,5000,resort
61,26,1000,nature
41,19,5000,resort
34,47,2000,cafe
23,11,10000,fine dining
40,13,3000,fine dining
49,49,1000,art
65,39,10000,cafe
53,38,500,pub
30,27,2000,cafe
28,18,3000,cafe
23,44,2000,resort
37,23,10000,resort
48,46,10000,pub
28,50,1000,cafe
46,40,1000,art
35,46,2000,cafe
42,16,2000,fine dining
20,29,10000,fine dining
43,50,5000,resort
34,13,5000,resort
33,21,5000,resort
21,24,10000,fine dining
38,30,500,nature
62,48,5000,adventure
24,17,2000,pub
31,21,3000,cafe
60,16,500,nature
42,12,5000,resort
50,48,5000,pub
49,46,1000,nature
46,17,5000,resort
40,22,1000,nature
46,15,2000,cafe
49,25,5000,fine dining
29,37,1000,nature
61,41,3000,pub
61,23,1000,art
63,22,3000,fine dining
60,12,2000,fine dining
64,21,5000,nature
48,36,500,nature
41,23,10000,resort
61,48,1000,nature
30,14,1000,art
37,31,3000,cafe
46,42,500,nature
20,26,5000,nature
41,15,5000,resort
55,40,1000,nature
58,37,10000,resort
60,18,1000,art
23,42,2000,adventure
26,29,1000,fine dining
29,38,1000,nature
24,25,3000,pub
64,30,2000,art
60,37,1000,nature
38,36,500,pub
31,46,500,nature
53,16,500,art
24,37,500,nature
49,30,3000,art
51,37,500,nature
55,21,3000,nature
63,25,2000,resort
47,31,5000,resort
46,11,500,art
58,14,10000,art
43,32,10000,resort
65,30,2000,cafe
30,20,5000,fine dining
33,25,2000,nature
27,28,3000,adventure
18,2,3000,adventure
24,28,5000,fine dining
42,23,10000,resort
55,17,3000,fine dining
65,41,5000,adventure
62,35,10000,nature
53,22,3000,pub
30,19,5000,nature
27,29,10000,resort
27,16,500,nature
41,20,1000,nature
21,28,500,cafe
58,22,10000,nature
44,13,10000,resort
51,19,10000,nature
52,36,5000,art
46,35,1000,fine dining
31,41,5000,resort
18,1,2000,adventure
33,21,1000,cafe
19,1,10000,resort
45,41,3000,cafe
21,23,5000,fine dining
44,20,3000,cafe
38,26,5000,resort
21,23,2000,fine dining
50,31,5000,cafe
38,34,5000,resort
29,32,10000,fine dining
42,18,2000,cafe
50,24,10000,cafe
20,35,2000,pub
33,41,5000,resort
39,13,500,cafe
36,18,3000,cafe
55,40,2000,nature
32,50,1000,nature
43,43,10000,resort
45,43,1000,nature
25,49,1000,cafe
44,45,1000,nature
45,16,500,art
30,29,3000,cafe
60,45,2000,fine dining
36,37,10000,resort
63,10,5000,cafe
61,21,500,nature
32,48,2000,fine dining
20,29,500,nature
32,16,500,nature
59,40,1000,cafe
53,21,5000,pub
40,21,500,art
50,33,2000,cafe
47,33,3000,cafe
31,33,2000,cafe
62,35,500,nature
41,37,5000,resort
52,26,10000,resort
32,40,2000,fine dining
61,23,2000,art
59,27,500,nature
57,35,10000,resort
55,38,2000,resort
32,41,5000,resort
61,37,2000,nature
61,23,10000,pub
53,33,1000,nature
20,26,5000,resort
58,26,3000,art
57,31,5000,art
46,41,1000,nature
39,41,5000,resort
21,45,5000,fine dining
53,20,3000,cafe
55,31,5000,cafe
35,28,1000,cafe
45,27,3000,fine dining
50,12,10000,cafe
32,11,2000,cafe
41,28,1000,nature
21,39,3000,adventure
32,28,5000,resort
52,43,10000,cafe
20,31,2000,adventure
50,33,3000,cafe
50,16,3000,cafe
18,2,500,cafe
28,13,2000,pub
62,38,10000,cafe
46,18,5000,resort
21,31,1000,nature
38,32,500,art
58,25,5000,fine dining
21,35,2000,cafe
32,46,2000,fine dining
32,23,1000,fine dining
55,18,2000,pub
48,14,5000,cafe
49,16,500,resort
44,45,3000,cafe
42,38,10000,resort
42,30,500,adventure
33,35,500,nature
22,24,2000,adventure
59,10,1000,art
42,16,5000,resort
53,37,500,nature
21,47,1000,nature
37,25,2000,cafe
33,24,500,nature
44,39,1000,adventure
60,30,10000,cafe
49,21,500,nature
22,43,3000,pub
19,2,3000,cafe
51,24,5000,fine dining
41,33,1000,art
32,25,3000,cafe
48,32,1000,nature
26,44,1000,cafe
30,42,2000,cafe
49,10,3000,nature
40,41,3000,cafe
27,31,1000,nature
57,22,5000,resort
25,39,10000,fine dining
39,44,5000,resort
62,42,3000,adventure
48,17,5000,cafe
22,36,2000,adventure
19,2,2000,adventure
43,36,500,nature
38,29,1000,art
26,18,2000,pub
56,29,5000,resort
58,14,2000,cafe
53,24,1000,nature
54,11,500,cafe
37,17,1000,resort
24,43,5000,resort
42,28,1000,art
